Geneid	1714__30min_-_library-read-1.fastq.gz
gene-b1368	325
gene-b1370	195
gene-b1372	609
gene-b1373	11
gene-b1374	1082
gene-b1375	26
gene-b4744	51
gene-b1376	19786
gene-b1377	63
gene-b4427	5865
gene-b1378	89919
gene-b4529	1678
gene-b1379	2154
gene-b1380	9149
gene-b1381	1090
gene-b1382	439
gene-b1383	407
gene-b1384	1636
gene-b1385	2087
gene-b1386	330
gene-b1387	231
gene-b1388	92
gene-b1389	48
gene-b1390	133
gene-b1391	22
gene-b1392	43
gene-b1393	39
gene-b1394	58
gene-b1395	261
gene-b1396	125
gene-b1397	2565
gene-b1398	2622
gene-b1399	2401
gene-b1400	1848
gene-b4674	0
gene-b1402	64
gene-b1403	34
gene-b1404	54
gene-b1406	2798
gene-b1407	88
gene-b1408	32
gene-b1409	19
gene-b1410	133
gene-b1411	265
gene-b1412	418
gene-b1413	9207
gene-b1414	1644
gene-b1415	57006
gene-b1418	269
gene-b4597	80
gene-b1419	1122
gene-b4428	4552
gene-b1420	4043
gene-b4429	1973
gene-b1421	976
gene-b1422	1110
gene-b1423	8243
gene-b1424	1479
gene-b1426	352
gene-b1427	503
gene-b1428	1523
gene-b1429	581
gene-b1430	177
gene-b1431	16411
gene-b1432	544
gene-b1433	380
gene-b1434	101
gene-b1435	495
gene-b1436	543
gene-b4532	619
gene-b1438	846
gene-b1439	506
gene-b1440	12949
gene-b1441	4022
gene-b1442	1535
gene-b1443	1281
gene-b1444	2877
gene-b4598	224
gene-b1445	47
gene-b1446	2038
gene-b1447	919
gene-b1448	329
gene-b1449	4490
gene-b1450	300
gene-b1451	252
gene-b1452	2306
gene-b1453	118
gene-b1454	1094
gene-b1455	30
gene-b1457	80
gene-b4745	81
gene-b1460	66
gene-b1461	295
