Geneid	1714__30min_MOXI_N=3_library-read-1.fastq.gz
gene-b1148	50
gene-b1149	417
gene-b1150	36
gene-b1151	124
gene-b1153	26
gene-b1154	12
gene-b1155	230
gene-b1156	81
gene-b1158	27
gene-b1159	244
gene-b1160	1
gene-b4738	0
gene-b4739	0
gene-b1161	9
gene-b1162	1154
gene-b1163	431
gene-b1164	721
gene-b1165	889
gene-b1166	232
gene-b1167	190
gene-b1168	348
gene-b4520	247
gene-b1171	116
gene-b1172	63
gene-b4593	28
gene-b4594	0
gene-b1174	250
gene-b1175	1981
gene-b1176	600
gene-b1177	362
gene-b1178	2953
gene-b1179	692
gene-b1180	6068
gene-b1181	2370
gene-b1182	163
gene-b1183	573
gene-b1184	1247
gene-b1185	1116
gene-b1186	506
gene-b1187	1086
gene-b1188	23199
gene-b1189	13001
gene-b1190	6011
gene-b4740	185
gene-b1191	379
gene-b1192	810
gene-b1193	812
gene-b1194	211
gene-b1195	4555
gene-b1196	858
gene-b1197	3169
gene-b1198	999
gene-b1199	467
gene-b1200	1086
gene-b1201	409
gene-b1202	877
gene-b1203	2114
gene-b1204	299
gene-b1205	61307
gene-b1206	5207
gene-b1207	5395
gene-b1208	1467
gene-b1209	1381
gene-b1210	980
gene-b1211	461
gene-b1212	155
gene-b1213	366
gene-b1214	3200
gene-b1215	3728
gene-b4419	31
gene-b4420	58
gene-b4421	2
gene-b4422	1
gene-b4423	13
gene-b4424	1
gene-b1216	324
gene-b1217	658
gene-b1218	4799
gene-b1219	1052
gene-b1220	520
gene-b1221	494
gene-b1222	1349
gene-b1223	341
gene-b1224	788
gene-b1225	553
gene-b1226	120
gene-b1227	370
gene-b1228	20
gene-b4425	48
gene-b1229	12
gene-b1230	238
gene-b1231	99
gene-b1232	1137
gene-b1233	513
gene-b1234	2886
gene-b1235	5111
gene-b1236	5515
gene-b1237	71376
gene-b1238	107
gene-b1241	205325
gene-b1242	131
gene-b4711	1682
gene-b1243	17780
gene-b1244	1947
gene-b1245	2698
gene-b1246	3894
gene-b1247	3788
gene-b1248	739
gene-b1249	2320
gene-b4595	283
gene-b1250	964
gene-b1251	116
gene-b1252	3160
gene-b1253	232
gene-b1254	2329
gene-b1255	1367
gene-b1256	264
gene-b1257	734
gene-b1258	1112
gene-b1259	2828
gene-b1260	236
gene-b1261	622
gene-b1262	574
gene-b1263	220
gene-b1264	148
gene-b1265	0
gene-b1266	1659
gene-b1267	5953
gene-b1268	1601
gene-b1269	1915
gene-b1270	500
gene-b1271	744
gene-b1272	2132
gene-b1273	763
gene-b1274	11187
gene-b1275	576
gene-b4522	217
gene-b4523	205
gene-b4741	242
gene-b1276	42709
gene-b1277	3139
gene-b1278	811
gene-b1279	2360
gene-b1280	3669
gene-b1281	369
gene-b1282	250
gene-b1283	4642
gene-b1284	596
gene-b4596	105
gene-b1285	3143
gene-b4672	55
gene-b1286	1663
gene-b1287	867
gene-b1288	13644
gene-b1289	376
gene-b1290	1153
gene-b1291	2178
gene-b1292	2737
gene-b1293	3317
gene-b1294	2984
gene-b1295	148
gene-b1296	587
gene-b4742	97
gene-b1297	1574
gene-b1298	1426
gene-b1299	1677
gene-b1300	291
gene-b1301	558
gene-b1302	238
gene-b1303	204
gene-b1304	3054
gene-b1305	828
gene-b1306	1163
gene-b1307	758
gene-b1308	868
gene-b1309	6
gene-b1310	25
gene-b1311	84
gene-b1312	67
gene-b1313	82
gene-b1314	42
gene-b1315	56
gene-b1316	85
gene-b1317	68
gene-b1319	2
gene-b1320	55
gene-b1321	10723
gene-b1322	8947
gene-b1323	4003
gene-b1324	4172
gene-b1325	1917
gene-b1326	3769
gene-b4525	72
gene-b4673	30
gene-b1327	290
gene-b1328	193
gene-b1329	2273
gene-b1330	554
gene-b1331	48
gene-b1332	1144
gene-b1333	35918
gene-b1334	17627
gene-b1335	103
gene-b1336	64
gene-b1337	166
gene-b1338	118
gene-b1339	164
gene-b4426	97
gene-b1340	1024
gene-b1341	2784
gene-b1342	912
gene-b4699	34
gene-b4743	318
